2001 1001 1
2002 1002 1
2003 1003 1
2003 1004 0
2004 1005 1
2004 1006 0
2005 1007 1
2005 1008 0
2006 1009 1
2006 1010 0
2006 1011 0
2007 1012 1
2007 1013 0
2008 1014 1
2009 1015 1
2009 1016 0
2010 1017 1
2011 1018 1
2011 1019 0
2012 1020 1
2012 1021 0
2012 1022 0
2012 1023 0
2013 1024 1
2013 1025 0
2014 1026 1
2015 1027 1
2015 1028 0
2015 1029 0
2015 1030 0
2016 1031 1
2017 1032 1
2017 1033 0
2018 1034 1
2019 1035 1
2019 1036 0
2019 1037 0
2019 1038 0
2020 1039 1
2021 1040 1
2021 1041 0
2022 1042 1
2022 1043 0
2023 1044 1
2023 1045 0
2023 1046 0
2023 1047 0
2024 1048 1
2025 1049 1
2025 1050 0
2026 1051 1
2026 1052 0
2027 1053 1
2027 1054 0
2027 1055 0
2027 1056 0
2028 1057 1
2029 1058 1
2029 1059 0
2030 1060 1
2030 1001 0
2031 1002 1
2031 1003 0
2031 1004 0
2031 1005 0
2032 1006 1
2033 1007 1
2033 1008 0
2034 1009 1
2035 1010 1
2036 1011 1
2037 1012 1
2038 1013 1
2039 1014 1
2039 1015 0
2040 1016 1
2040 1017 0
2041 1018 1
2042 1019 1
2043 1020 1
2043 1021 0
